Tweet,Sentiment Score,Subjectivity Score
There s more than meets the eye for the all rounder ASUS X409 X509 laptop Check out the details here,0.625,0.5
Ordinary is over WowTheWorld with the VivoBook S14 S15 and change the way you work with your laptop with the,-0.25,0.5
RT ASUS K55A DH51 15 6 i3 3110M Windows 10 Notebook Laptop w BD ROM Drive,0.0,0.0
ASUS K55A DH51 15 6 i3 3110M Windows 10 Notebook Laptop w BD ROM Drive,0.0,0.0
minionmovie SMEUK minionbanana Fancy Minions Vinyl Skin For Macbook Air Retina Pro HP Dell Asus Lenovo Laptop,0.0,0.0
RT finishes cleaning the kitchen sink for the first time ever dries hands sits down at large wooden desk with nothing o,-0.08825396825396825,0.4101587301587301
Just went through my closet anyone wanna cop any of this Xbox one Scuf Xbox 360 HP Laptop Astro a40 TR Keyboard A,0.0,0.0
ASUS VivoBook Laptop 15 6 Full HD Gaming Consoles PC Games,0.35,0.55
Asus Zenbook Pro Duo laptop has 2 screens What it s like to use it,0.0,0.0
RT This wild new computer with two screens made me excited about what could be next for the laptop,0.15284090909090908,0.4011363636363636
I bought my Asus F541U Laptop Computer yo replace my 4 yr old Asus X54C because I was happy with the old one,0.3333333333333333,0.4666666666666666
RT This wild new computer with two screens made me excited about what could be next for the laptop,0.15284090909090908,0.4011363636363636
RT finishes cleaning the kitchen sink for the first time ever dries hands sits down at large wooden desk with nothing o,-0.08825396825396825,0.4101587301587301
RT finishes cleaning the kitchen sink for the first time ever dries hands sits down at large wooden desk with nothing o,-0.08825396825396825,0.4101587301587301
RT ASUS MB16AP IPS Portable Display Shop laptop gaming gamer gameroom gamers gamecollectio,0.0,0.0
RT finishes cleaning the kitchen sink for the first time ever dries hands sits down at large wooden desk with nothing o,-0.08825396825396825,0.4101587301587301
RT finishes cleaning the kitchen sink for the first time ever dries hands sits down at large wooden desk with nothing o,-0.08825396825396825,0.4101587301587301
what are you waiting for rush in now for your Laptop Radiator Cooling Fan CPU Cooling Fan at a very cool price for,0.45499999999999996,0.8450000000000001
RT finishes cleaning the kitchen sink for the first time ever dries hands sits down at large wooden desk with nothing o,-0.08825396825396825,0.4101587301587301
RT finishes cleaning the kitchen sink for the first time ever dries hands sits down at large wooden desk with nothing o,-0.08825396825396825,0.4101587301587301
RT finishes cleaning the kitchen sink for the first time ever dries hands sits down at large wooden desk with nothing o,-0.08825396825396825,0.4101587301587301
RT finishes cleaning the kitchen sink for the first time ever dries hands sits down at large wooden desk with nothing o,-0.08825396825396825,0.4101587301587301
